Model Category,Model,NSE,MAE,R2,RMSE
General,CNN,0.4554499469507055,34.903360197601316,0.4554499469507055,55.589564275926
General,RNN,0.5039961211604748,35.31703940750121,0.5039961211604748,53.05384985609268
General,GRU,-0.5664042793805468,56.694070093135835,-0.5664042793805468,94.28145975810439
General,LSTM,-0.5395740895875341,55.45909786022187,-0.5395740895875341,93.47052119700996
MA,CNN,0.2317634910656422,47.81919710589409,0.2317634910656422,66.02704160037385
MA,RNN,-0.4116087996336555,51.27317783706665,-0.4116087996336555,89.50175393091494
MA,GRU,0.364101859852318,34.53460938421249,0.364101859852318,60.07145414322388
MA,LSTM,-0.17789271179298805,46.70531694763183,-0.17789271179298805,81.75743069796289
DReg,CNN,0.3577834487273851,40.9016215486145,0.3577834487273851,60.369157453722345
DReg,RNN,-0.4182762817844212,51.45480515830993,-0.4182762817844212,89.71287770122417
DReg,GRU,-0.3357918220564782,50.187854225616455,-0.3357918220564782,87.0650307539803
DReg,LSTM,-0.10076005388732967,47.68775171173096,-0.10076005388732967,79.03522573168048
MA DReg,CNN,0.3158702121438063,40.203864518365855,0.3158702121438063,62.30797226058958
MA DReg,RNN,-0.44300387116974504,52.015894840888976,-0.44300387116974504,90.49156844731775
MA DReg,GRU,-0.35034748340471844,50.41570404289246,-0.35034748340471844,87.53810427542113
MA DReg,LSTM,-0.3974057179421582,50.98523433120728,-0.3974057179421582,89.05034894595299
HY,CNN LSTM,-0.4137467062997986,51.331937812499994,-0.4137467062997986,89.56950428846439
HY,LSTM RNN GRU,-0.33432869175777125,50.175240166168216,-0.33432869175777125,87.0173353031475
HY,CNN RNN GRU,-0.2760914788429727,49.38024113891602,-0.2760914788429727,85.09720028334046
HY,CNN GRU,-0.4119726079603703,51.29012124412536,-0.4119726079603703,89.51328665358888
HY,RNN GRU,-0.42096471951077885,51.499023460083,-0.42096471951077885,89.79786583064895
HY,RNN LSTM,-0.42803361795333683,51.66333629959106,-0.42803361795333683,90.02094825130972
MA HY,CNN LSTM,-0.3925636017200178,50.90229414222718,-0.3925636017200178,88.89593197507754
MA HY,LSTM RNN GRU,-0.3136767856836422,49.90189870117187,-0.3136767856836422,86.34130934327064
MA HY,CNN RNN GRU,-0.24067151645897988,48.87936719787598,-0.24067151645897988,83.90788483871003
MA HY,CNN GRU,-0.4299408416911221,51.70758268707275,-0.4299408416911221,90.08104235550842
MA HY,RNN GRU,-0.39295024404963796,50.9076665234375,-0.39295024404963796,88.90827200204913
MA HY,RNN LSTM,-0.40628481102417546,51.15592391365051,-0.40628481102417546,89.33281319368668
